,magnitude_of_delay,delay_in_seconds,luminosity,avg_temperature,avg_atm_pressure,avg_humidity,avg_wind_speed,avg_rain,incidents,National,Regional,day_of_month,week_day,month,hour,day_of_year,season,is_holiday,is_weekend
42,0,0,0,4.0,1021.0,82.0,0.0,0,0,2,0,27,5,11,23,331,3,0,1
43,2,12506,0,11.0,1025.0,62.0,2.0,0,4,33,3,17,4,12,18,351,3,0,1
44,0,84,0,17.0,1007.0,93.0,0.0,0,1,6,0,31,6,10,3,304,3,0,1
45,0,0,0,10.0,1011.0,91.0,0.0,0,1,0,0,21,3,1,3,21,3,0,1
46,0,0,0,13.0,1008.0,94.0,0.0,0,0,0,0,26,6,12,20,360,3,0,1
47,0,210,2,14.0,1021.0,77.0,5.0,0,4,7,0,12,2,5,13,132,0,0,1
48,0,160,1,13.0,1016.0,79.0,3.0,0,1,5,0,1,0,11,17,305,2,1,1
49,0,0,0,13.0,1019.0,84.0,1.0,0,0,5,0,12,0,7,5,193,1,0,1
50,0,0,0,17.0,1015.0,87.0,2.0,0,0,5,0,19,0,7,21,200,1,0,1
51,0,0,0,19.0,1019.0,42.0,2.0,0,0,5,0,10,6,10,22,283,2,0,1
52,0,0,0,10.0,1024.0,82.0,2.0,0,0,0,0,14,1,12,0,348,3,0,1
53,0,0,0,7.0,1011.0,94.0,0.0,0,0,5,0,3,2,11,3,307,2,0,1
54,0,0,0,15.0,1022.0,93.0,0.0,0,0,5,0,28,1,9,2,271,3,0,1
55,0,0,0,17.0,1019.0,88.0,0.0,0,0,5,0,21,2,7,23,202,1,0,1
56,0,0,2,17.0,1019.0,92.0,0.0,0,0,5,0,3,5,7,7,184,1,0,1
57,0,0,0,11.0,1025.0,55.0,2.0,0,0,5,0,16,3,12,2,350,3,0,1
58,0,0,0,10.0,1012.0,91.0,0.0,0,3,5,0,21,2,4,5,111,1,0,1
59,0,361,0,14.0,1022.0,78.0,0.0,0,1,5,0,23,5,10,20,296,3,0,1
60,0,0,0,17.0,1023.0,77.0,0.0,0,0,5,0,30,3,9,21,273,3,0,1
61,0,0,2,11.0,1027.0,66.0,4.0,0,0,0,0,18,0,1,10,18,3,0,1
62,2,2230,2,16.0,1018.0,46.0,2.0,0,4,9,0,12,1,10,8,285,2,0,1
63,0,240,2,21.0,1018.0,58.0,1.0,0,1,5,0,17,4,9,11,260,2,0,1
64,0,274,2,16.0,1020.0,82.0,1.0,0,4,5,0,6,3,5,10,126,0,0,1
65,0,0,2,18.0,1015.0,92.0,0.0,0,0,5,0,2,5,10,14,275,2,0,1
66,0,0,2,13.0,1022.0,94.0,1.0,0,0,5,0,28,1,12,9,362,3,0,1
67,0,0,0,11.0,1022.0,62.0,2.0,0,3,5,0,5,5,6,4,156,1,0,1
68,0,0,0,15.0,1012.0,92.0,0.0,0,2,5,0,17,3,6,22,168,1,0,1
69,0,0,2,22.0,1016.0,62.0,0.0,0,0,5,0,26,5,6,13,177,1,0,1
70,0,111,2,15.0,1006.0,83.0,0.0,0,3,5,0,28,2,4,14,118,1,0,1
71,2,1842,2,18.0,1018.0,63.0,4.0,0,4,10,0,5,2,5,19,125,0,0,1
72,0,180,2,14.0,1018.0,92.0,0.0,0,3,6,0,2,4,7,7,183,1,0,1
73,0,1140,2,14.0,1022.0,61.0,1.0,0,2,7,0,19,4,11,11,323,2,0,1
74,0,0,0,17.0,1014.0,45.0,3.0,0,2,5,0,31,2,3,5,90,1,0,1
75,0,42,0,19.0,1022.0,59.0,3.0,0,1,6,0,20,0,9,21,263,2,0,1
76,0,223,2,11.0,1022.0,92.0,1.0,0,3,0,0,29,4,1,8,29,3,0,1
77,0,0,0,11.0,1010.0,91.0,1.0,0,3,5,0,22,3,4,5,112,1,0,1
78,0,0,0,13.0,1010.0,91.0,1.0,0,3,5,0,25,6,4,1,115,1,1,1
79,2,80,0,11.0,1004.0,92.0,0.0,0,0,0,0,24,4,12,21,358,3,0,1
80,0,174,2,11.0,1027.0,78.0,1.0,0,2,5,0,30,1,11,11,334,3,0,1
81,2,1845,2,18.0,1018.0,74.0,1.0,0,3,9,0,16,5,10,12,289,2,0,1
82,2,356,0,13.0,1019.0,75.0,0.0,0,2,8,0,10,2,11,20,314,2,0,1
83,2,2916,2,12.0,1021.0,66.0,0.0,0,4,14,0,15,0,11,9,319,2,0,1
84,0,0,0,17.0,1019.0,89.0,0.0,0,0,5,0,17,4,9,0,260,2,0,1
85,0,0,0,7.0,1028.0,87.0,1.0,0,1,0,0,17,6,1,20,17,3,0,1
86,0,0,2,9.0,1017.0,68.0,1.0,0,0,3,0,24,2,11,10,328,3,0,1
87,0,0,0,20.0,1019.0,81.0,2.0,0,3,5,0,12,5,6,22,163,1,0,1
88,0,0,0,15.0,1020.0,84.0,0.0,0,3,5,0,7,0,6,4,158,1,0,1
89,0,0,2,9.0,1012.0,91.0,0.0,2,0,0,0,23,5,1,8,23,3,0,1
90,0,0,0,13.0,1020.0,62.0,2.0,0,0,0,0,20,5,3,19,79,0,0,1
91,0,52,2,13.0,1024.0,78.0,2.0,0,1,0,0,2,1,3,13,61,0,0,1
92,0,0,2,13.0,1011.0,87.0,4.0,0,0,0,0,3,2,2,11,34,3,0,1
93,0,175,0,15.0,1019.0,87.0,0.0,0,3,5,0,30,2,6,22,181,1,0,1
94,0,0,0,9.0,1026.0,92.0,0.0,0,1,5,0,11,5,12,0,345,3,0,1
95,0,0,0,13.0,1020.0,72.0,2.0,0,0,5,0,20,5,11,5,324,2,0,1
96,0,0,0,15.0,1019.0,86.0,0.0,0,0,5,0,6,1,7,22,187,1,0,1
97,2,7094,2,15.0,1016.0,88.0,2.0,0,4,21,1,2,2,6,18,153,1,0,1
98,0,0,2,14.0,1016.0,92.0,1.0,0,0,5,0,27,6,6,8,178,1,0,1
99,2,2559,0,12.0,1020.0,69.0,1.0,0,4,11,0,16,1,11,19,320,2,0,1
100,0,0,2,17.0,1022.0,36.0,1.0,0,0,0,0,21,6,3,15,80,1,0,1
101,0,0,0,10.0,1013.0,73.0,3.0,0,0,0,0,16,1,3,2,75,0,0,1
102,0,0,0,12.0,1020.0,70.0,1.0,0,0,5,0,15,0,11,23,319,2,0,1
103,0,59,2,16.0,1016.0,38.0,0.0,0,4,5,0,16,4,4,11,106,0,0,1
104,0,0,1,18.0,1011.0,84.0,0.0,0,2,5,0,16,2,6,20,167,1,0,1
105,2,267,2,14.583,1016.0,39.0,2.0,0,1,8,0,16,4,7,20,197,1,0,1
106,0,609,2,13.0,1019.0,82.0,1.0,0,2,5,0,12,4,11,10,316,2,0,1
107,0,0,0,19.0,1015.0,90.0,1.0,0,0,5,0,25,6,7,22,206,1,0,1
108,0,0,2,9.0,1021.0,68.0,2.0,0,0,5,0,14,6,11,8,318,2,0,1
109,0,139,2,15.0,1014.0,88.0,5.0,0,0,0,0,27,0,12,13,361,3,0,1
110,0,1234,2,18.0,1007.0,77.0,3.0,0,3,8,0,27,1,4,13,117,1,0,1
111,0,0,0,12.0,1020.0,86.0,0.0,0,0,5,0,28,0,6,1,179,1,0,1
112,0,0,0,11.0,1018.0,64.0,1.0,0,0,5,0,28,3,10,3,301,3,0,1
113,0,38,2,13.0,1026.0,82.0,1.0,0,1,0,0,11,3,3,13,70,0,0,1
114,0,0,2,18.0,1021.0,40.0,3.0,0,2,5,0,29,0,3,16,88,1,0,1
115,0,0,0,8.0,1021.0,87.0,1.0,0,0,0,0,22,0,3,3,81,1,0,1
116,0,0,0,12.0,1016.0,77.0,1.0,0,0,5,0,21,6,11,5,325,3,0,1
117,0,294,2,19.0,1019.0,41.0,1.0,0,3,7,0,3,0,5,12,123,0,0,1
118,0,0,2,18.0,1024.0,77.0,4.0,0,2,5,0,23,1,3,13,82,1,0,1
119,0,0,2,6.0,1024.0,69.0,0.0,0,0,2,0,28,6,11,10,332,3,0,1
120,0,0,0,5.0,1022.0,77.0,0.0,0,0,0,0,10,2,3,5,69,0,0,1
121,0,0,2,11.0,1024.0,75.0,1.0,0,0,0,0,2,1,3,10,61,0,0,1
122,0,0,2,20.0,1015.0,63.0,1.0,0,0,5,0,26,5,6,8,177,1,0,1
123,0,46,2,28.0,1018.0,53.0,1.0,0,4,6,0,14,0,6,15,165,1,0,1
124,0,0,0,18.0,1018.0,56.0,2.0,0,0,5,0,11,0,10,4,284,2,0,1
125,0,0,0,7.0,1010.0,91.0,1.0,0,3,5,0,30,4,4,6,120,1,0,1
126,0,998,0,10.0,1026.0,75.0,0.0,0,3,2,0,18,0,1,17,18,3,0,1
127,0,0,0,13.0,1018.0,94.0,0.0,0,3,5,0,8,5,5,0,128,0,0,1
128,0,0,0,8.0,1027.0,77.0,2.0,0,0,5,0,6,5,11,0,310,2,0,1
129,0,0,2,13.0,1016.0,92.0,0.0,0,2,5,0,19,5,6,7,170,1,0,1
130,0,0,0,18.0,1010.0,84.0,0.0,0,0,5,0,13,0,9,4,256,2,0,1
131,0,0,0,16.0,1022.0,91.0,1.0,0,0,5,0,27,0,9,3,270,3,0,1
132,0,112,2,20.0,1016.0,37.0,2.0,0,4,6,0,16,4,4,13,106,0,0,1
133,0,0,2,13.0,1015.0,93.0,3.0,0,1,0,0,31,6,1,15,31,3,0,1
134,2,1999,2,12.0,1012.0,91.0,1.0,0,4,9,0,22,3,4,9,112,1,0,1
135,0,0,0,11.0,1009.0,89.0,2.0,0,0,0,0,24,4,12,7,358,3,0,1
136,2,12477,0,9.0,1016.0,75.0,2.0,0,4,24,4,26,4,11,18,330,3,0,1
137,0,0,2,12.0,1012.0,67.0,4.0,0,4,5,0,30,4,4,11,120,1,0,1
138,0,0,0,12.0,1017.0,79.0,2.0,0,0,5,0,20,0,12,6,354,3,0,1
139,0,0,0,16.0,1021.0,80.0,1.0,0,3,5,0,9,2,6,2,160,1,0,1
140,2,2907,2,16.0,1024.0,55.0,2.0,0,4,12,1,21,1,9,9,264,3,0,1
141,2,1329,2,12.0,1019.0,88.0,6.0,0,4,11,0,12,2,5,9,132,0,0,1
142,0,152,0,25.0,1016.0,41.0,1.0,0,1,6,0,15,3,7,22,196,1,0,1
143,0,0,0,15.0,1021.0,78.0,1.0,0,0,5,0,19,6,9,0,262,2,0,1
144,0,0,0,10.0,1018.0,92.0,0.0,0,1,0,0,30,5,1,19,30,3,0,1
145,0,0,0,13.0,1012.0,67.0,4.0,0,3,5,0,15,3,4,6,105,0,0,1
146,2,9302,0,15.0,1018.0,70.0,0.0,0,4,27,0,10,2,11,18,314,2,0,1
147,0,0,2,20.0,1021.0,42.0,1.0,0,0,5,0,14,3,10,11,287,2,0,1
148,0,0,2,20.0,1024.0,64.0,0.0,0,0,5,0,8,3,7,10,189,1,0,1
149,0,0,2,22.0,1019.0,73.0,0.0,0,0,5,0,16,3,9,12,259,2,0,1
150,2,5025,0,9.0,1026.0,93.0,1.0,0,4,15,0,3,4,12,17,337,3,0,1
151,0,0,0,14.0,1018.0,90.0,0.0,0,0,5,0,18,5,9,2,261,2,0,1
152,0,923,2,13.0,1010.0,89.0,1.0,2,4,8,0,21,2,4,15,111,1,0,1
153,0,235,2,16.0,1022.0,41.0,1.0,0,1,6,0,16,3,12,16,350,3,0,1
154,0,0,2,20.0,1014.0,55.0,5.0,0,3,5,0,4,6,4,18,94,0,1,1
155,0,0,2,13.0,1025.0,77.0,3.0,0,0,0,0,10,2,3,15,69,0,0,1
156,0,33,2,18.0,1017.0,92.0,1.0,0,1,5,0,2,5,10,10,275,2,0,1
157,0,185,2,8.0,1019.0,93.0,1.0,0,3,6,0,3,0,5,7,123,0,0,1
158,2,1098,2,12.0,1015.0,73.0,2.0,0,3,8,0,24,2,11,14,328,3,0,1
159,0,1024,2,23.0,1021.0,46.0,0.0,0,2,8,0,20,0,9,17,263,2,0,1
160,0,0,0,7.0,1013.0,82.0,2.0,0,2,5,0,26,4,3,5,85,1,0,1
161,0,0,0,12.0,1011.0,91.0,0.0,0,0,0,0,25,0,1,2,25,3,0,1
162,0,0,0,10.0,1023.0,71.0,2.0,0,0,5,0,19,4,11,5,323,2,0,1
163,0,0,0,12.0,1022.0,77.0,2.0,0,0,5,0,23,5,10,6,296,3,0,1
164,0,549,2,17.0,1018.0,67.0,3.0,0,3,5,0,19,0,4,17,109,0,0,1
165,0,989,2,24.0,1019.0,26.0,2.0,0,2,10,0,13,2,10,14,286,2,0,1
166,2,10261,0,12.0,1024.0,56.0,2.0,0,4,28,1,15,2,12,18,349,3,0,1
167,2,4249,2,12.0,1019.0,88.0,0.0,0,4,14,1,19,0,4,9,109,0,0,1
168,0,0,0,11.0,1012.0,72.0,1.0,0,3,5,0,7,2,4,1,97,0,0,1
169,0,0,0,17.0,1011.0,90.0,0.0,0,0,5,0,15,2,9,2,258,2,0,1
170,0,0,1,8.0,1021.0,93.0,2.0,0,0,2,0,30,3,12,8,364,3,0,1
171,0,0,2,16.0,1025.0,53.0,3.0,0,2,5,0,24,2,3,15,83,1,0,1
172,0,0,2,15.0,1018.0,82.0,2.0,0,0,0,0,7,6,3,14,66,0,0,1
173,0,0,0,13.0,1022.0,82.0,1.0,0,3,5,0,6,6,6,4,157,1,0,1
174,0,317,2,11.0,1017.0,56.0,3.0,0,1,4,0,26,4,11,12,330,3,0,1
175,0,0,0,10.0,1020.0,87.0,1.0,0,0,0,0,2,1,3,2,61,0,0,1
176,2,1754,2,13.0,1030.0,54.0,0.0,0,3,12,0,6,5,11,12,310,2,0,1
177,0,0,1,15.0,1018.0,83.0,1.0,0,0,5,0,11,5,9,7,254,2,0,1
178,0,331,0,16.0,1015.0,58.0,1.0,0,4,9,0,7,2,4,21,97,0,0,1
179,2,2495,1,7.0,1026.0,70.0,2.0,0,3,11,0,17,4,12,8,351,3,0,1
180,0,0,0,17.0,1010.0,90.0,0.0,0,2,5,0,17,3,6,3,168,1,0,1
181,2,4388,0,16.0,1014.0,85.0,3.0,0,4,18,0,21,1,12,17,355,3,0,1
182,0,0,2,27.0,1017.0,52.0,0.0,0,0,5,0,17,5,7,20,198,1,0,1
183,0,0,0,11.0,1021.0,87.0,0.0,0,0,5,0,4,0,10,1,277,2,0,1
184,2,9680,0,12.0,1013.0,88.0,1.0,0,4,14,0,23,3,12,17,357,3,0,1
185,0,0,0,18.0,1016.0,62.0,0.0,0,1,5,0,26,5,6,0,177,1,0,1
186,0,0,0,17.0,1008.0,93.0,1.0,0,0,5,0,31,6,10,2,304,3,0,1
187,0,0,0,18.0,1019.0,58.0,2.0,0,2,5,0,25,4,6,3,176,1,0,1
188,0,0,2,13.0,1017.0,94.0,2.0,0,2,5,0,3,5,4,10,93,0,0,1
189,0,0,0,8.0,1017.0,92.0,1.0,0,3,5,0,11,1,5,5,131,0,0,1
190,0,0,0,17.0,1018.0,91.0,0.0,0,0,5,0,5,0,7,2,186,1,0,1
191,0,1882,2,20.0,1018.0,47.0,0.0,0,4,10,0,4,1,5,17,124,0,0,1
192,0,170,2,13.0,1023.0,61.0,3.0,0,2,5,0,29,0,11,15,333,3,0,1
193,0,0,0,27.0,1015.0,40.0,0.0,0,0,5,0,16,4,7,21,197,1,0,1
194,0,0,2,18.0,1014.0,67.0,2.0,0,3,5,0,2,2,6,10,153,1,0,1
195,0,0,0,13.0,1017.0,91.0,0.0,0,2,5,0,2,4,4,21,92,0,1,1
196,0,0,2,11.0,1020.0,90.0,0.0,0,0,5,0,28,0,6,6,179,1,0,1
197,2,3736,2,18.0,1014.0,49.0,3.0,0,4,17,1,19,0,7,18,200,1,0,1
198,0,1088,2,18.0,1022.0,63.0,1.0,0,2,8,0,23,5,10,12,296,3,0,1
199,2,2381,2,9.0,1013.0,62.0,2.0,0,4,12,2,22,0,11,9,326,3,0,1
200,0,915,2,16.0,1012.0,75.0,2.0,1,3,7,0,18,4,6,15,169,1,0,1
201,0,0,0,11.0,1018.0,93.0,0.0,0,0,0,0,1,0,2,22,32,3,0,1
202,0,0,2,18.0,1019.0,48.0,1.0,0,0,0,0,6,5,3,13,65,0,0,1
203,0,0,0,13.0,1019.0,82.0,1.0,0,3,5,0,13,1,4,22,103,0,0,1
204,0,0,0,15.0,1024.0,75.0,2.0,0,0,3,0,31,4,12,20,365,3,0,1
205,0,212,2,7.0,1022.0,93.0,1.0,0,3,6,0,23,1,3,7,82,1,0,1
206,0,0,0,7.0,1025.0,77.0,1.0,0,0,2,0,3,4,12,0,337,3,0,1
207,0,0,0,7.0,1015.0,73.0,0.0,0,0,2,0,26,4,11,2,330,3,0,1
208,0,0,0,15.0,1011.0,82.0,1.0,1,2,5,0,1,3,4,6,91,0,0,1
209,0,0,2,21.0,1019.0,66.0,1.0,0,2,5,0,2,4,7,11,183,1,0,1
210,0,0,2,14.0,1022.0,65.0,2.0,0,0,5,0,23,5,10,9,296,3,0,1
211,2,1072,2,11.0,1002.0,91.0,2.0,2,4,3,0,20,2,1,14,20,3,0,1
212,0,0,0,17.0,1012.0,90.0,0.0,0,0,5,0,15,2,9,0,258,2,0,1
213,0,0,0,12.0,1020.0,71.0,1.0,0,0,0,0,20,5,3,20,79,0,0,1
214,0,0,0,18.0,1017.0,59.0,2.0,0,1,5,0,22,2,9,21,265,3,0,1
215,0,0,0,4.0,1025.0,89.0,1.0,0,0,2,0,3,4,12,5,337,3,0,1
216,0,0,2,14.0,1024.0,82.0,2.0,0,2,5,0,23,1,3,10,82,1,0,1
217,0,0,0,18.0,1014.0,74.0,1.0,0,0,5,0,12,6,9,3,255,2,0,1
218,0,981,2,14.583,1018.0,45.0,2.0,0,2,6,0,14,2,7,19,195,1,0,1
219,0,0,0,9.0,1013.0,74.0,3.0,0,1,0,0,19,1,1,20,19,3,0,1
220,0,713,2,27.0,1021.0,39.0,2.0,0,4,8,0,9,2,6,13,160,1,0,1
221,0,0,0,14.0,1017.0,84.0,0.0,0,0,5,0,16,5,10,4,289,2,0,1
222,0,0,0,7.0,1018.0,83.0,1.0,0,3,5,0,2,6,5,5,122,0,0,1
223,0,133,2,22.0,1026.0,60.0,0.0,0,1,6,0,30,3,9,12,273,3,0,1
224,2,1308,2,11.0,1003.0,94.0,8.0,2,3,4,1,20,2,1,9,20,3,0,1
225,0,0,0,15.0,1000.0,93.0,0.0,0,0,5,0,30,5,10,2,303,3,0,1
226,0,0,2,18.0,1010.0,93.0,0.0,0,0,5,0,31,6,10,10,304,3,0,1
227,0,0,1,18.0,1019.0,77.0,0.0,0,0,5,0,3,5,7,20,184,1,0,1
228,0,0,0,14.0,1024.0,69.0,2.0,0,0,5,0,21,1,9,3,264,3,0,1
229,0,687,2,23.0,1013.0,60.0,0.0,1,4,8,0,11,4,6,19,162,1,0,1
230,0,0,0,10.0,1018.0,91.0,0.0,0,1,0,0,30,5,1,21,30,3,0,1
231,0,171,1,10.0,1021.0,81.0,1.0,0,1,6,0,22,4,10,7,295,3,0,1
232,2,4043,2,11.0,1022.0,79.0,1.0,0,3,7,0,22,4,10,8,295,3,0,1
233,2,3768,0,11.0,1025.0,94.0,2.0,0,4,12,0,9,3,12,19,343,3,0,1
234,2,5911,2,19.0,1017.0,47.0,0.0,0,4,17,0,8,3,4,18,98,0,0,1
235,0,0,0,11.0,1019.0,87.0,1.0,0,0,0,0,1,0,3,23,60,0,0,1
236,0,0,2,8.0,1024.0,69.0,2.0,0,0,2,0,19,6,12,9,353,3,0,1
237,0,2088,2,22.0,1009.0,73.0,1.0,0,2,11,0,14,1,9,14,257,2,0,1
238,0,0,2,18.0,1023.0,52.0,0.0,0,2,5,0,27,5,3,18,86,1,0,1
239,0,0,0,17.0,1018.0,65.0,1.0,0,0,5,0,10,5,7,2,191,1,0,1
240,0,0,0,12.0,1005.0,91.0,1.0,0,3,5,0,27,1,4,5,117,1,0,1
241,0,0,0,17.0,1018.0,44.0,2.0,0,0,5,0,12,1,10,7,285,2,0,1
242,0,109,2,19.0,1019.0,63.0,1.0,0,1,5,0,3,5,7,9,184,1,0,1
243,2,2961,2,20.0,1025.0,36.0,1.0,0,4,12,0,16,1,3,15,75,0,0,1
244,0,0,2,10.0,1020.0,93.0,1.0,0,0,2,0,1,2,12,14,335,3,1,1
245,0,0,0,18.0,1017.0,79.0,2.0,0,0,5,0,11,6,7,21,192,1,0,1
246,2,7536,2,20.0,1019.0,72.0,4.0,0,4,21,1,7,4,5,18,127,0,0,1
247,0,377,2,23.0,1021.0,71.0,2.0,0,1,6,0,18,0,10,14,291,2,0,1
248,0,0,2,9.0,1016.0,92.0,1.0,0,0,0,0,24,6,1,9,24,3,0,1
249,0,0,0,9.0,1004.0,91.0,3.0,3,1,0,0,20,2,1,4,20,3,0,1
250,0,0,2,16.0,1016.0,93.0,1.0,0,0,5,0,26,0,7,7,207,1,0,1
251,2,3625,0,13.0,1023.0,59.0,1.0,0,4,16,0,16,3,12,17,350,3,0,1
252,0,0,0,14.0,1007.0,93.0,1.0,0,0,5,0,29,4,10,6,302,3,0,1
253,0,0,0,8.0,1006.0,91.0,1.0,3,1,0,0,20,2,1,2,20,3,0,1
254,0,0,0,10.0,1026.0,92.0,1.0,0,0,0,0,11,3,3,23,70,0,0,1
255,0,173,2,13.0,1020.0,67.0,1.0,0,3,5,0,2,6,5,10,122,0,0,1
256,0,90,0,12.0,1010.0,92.0,0.0,1,1,0,0,2,1,2,22,33,3,0,1
257,0,0,0,18.0,997.0,93.0,4.0,0,0,5,0,29,4,10,23,302,3,0,1
258,2,314,2,16.0,1016.0,75.0,0.0,0,1,8,0,19,0,7,9,200,1,0,1
259,0,0,2,15.0,1024.0,58.0,0.0,0,2,5,0,24,2,3,17,83,1,0,1
260,0,36,0,14.0,1023.0,71.0,2.0,0,3,5,0,27,5,3,20,86,1,0,1
261,0,0,0,16.0,1017.0,93.0,0.0,0,0,5,0,19,0,7,6,200,1,0,1
262,0,0,0,4.0,1021.0,87.0,0.0,0,0,2,0,28,6,11,1,332,3,0,1
263,0,187,2,23.0,1020.0,43.0,0.0,0,1,5,0,11,0,10,13,284,2,0,1
264,0,0,0,17.0,1022.0,88.0,1.0,0,0,5,0,26,6,9,22,269,3,0,1
265,0,0,0,12.0,1010.0,91.0,0.0,1,0,5,0,28,3,10,22,301,3,0,1
266,0,0,2,18.0,1007.0,82.0,4.0,0,3,5,0,27,1,4,16,117,1,0,1
267,0,0,2,14.583,1016.0,17.0,1.0,0,0,5,0,16,4,7,13,197,1,0,1
268,0,0,0,10.0,1021.0,69.0,0.0,0,0,5,0,17,2,11,4,321,2,0,1
269,0,1266,2,23.0,1018.0,67.0,4.0,0,2,7,0,16,3,9,17,259,2,0,1
270,2,3848,2,22.0,1020.0,53.0,0.0,0,4,15,0,7,0,6,18,158,1,0,1
271,0,0,0,9.0,1027.0,90.0,0.0,0,0,3,0,10,4,12,23,344,3,0,1
272,0,0,0,18.0,1019.0,85.0,0.0,0,0,5,0,16,3,9,22,259,2,0,1
273,0,0,0,15.0,1018.0,93.0,0.0,0,0,5,0,22,3,7,4,203,1,0,1
274,0,0,0,10.0,1018.0,86.0,1.0,0,3,5,0,5,2,5,3,125,0,0,1
275,2,3499,2,21.0,1021.0,72.0,0.0,0,4,12,0,1,4,10,17,274,2,0,1
276,0,384,0,13.0,1007.0,85.0,1.0,0,4,6,0,9,6,5,0,129,0,0,1
277,0,0,0,16.0,1018.0,81.0,0.0,0,2,5,0,1,3,7,23,182,1,0,1
278,2,9288,2,18.0,1024.0,60.0,0.0,0,4,20,0,28,1,9,18,271,3,0,1
279,0,0,0,12.0,1017.0,92.0,0.0,0,2,5,0,3,5,4,0,93,0,0,1
