S1_Temp,S1_Light,S1_Sound,S5_CO2,S6_PIR,Room_Occupancy_Count,day_of_month,week_day,month,year,hour,minute
25.19,123,0.42,420,0,1,22,4,12,2017,11,12
25.19,124,0.17,425,0,1,22,4,12,2017,11,12
25.19,124,1.44,430,0,1,22,4,12,2017,11,13
25.25,124,0.76,430,1,1,22,4,12,2017,11,13
25.25,124,0.16,435,0,1,22,4,12,2017,11,14
25.25,124,0.09,425,0,1,22,4,12,2017,11,14
25.25,123,0.28,425,0,1,22,4,12,2017,11,15
25.25,123,0.07,420,0,1,22,4,12,2017,11,15
25.25,124,0.28,420,1,1,22,4,12,2017,11,16
25.25,123,0.24,420,0,1,22,4,12,2017,11,16
25.25,123,0.93,430,1,1,22,4,12,2017,11,17
25.25,123,0.1,435,0,1,22,4,12,2017,11,17
25.25,123,0.68,430,0,1,22,4,12,2017,11,18
25.25,123,0.94,445,0,1,22,4,12,2017,11,18
25.25,123,0.12,440,0,1,22,4,12,2017,11,19
25.25,123,0.29,440,0,1,22,4,12,2017,11,19
25.25,124,0.83,435,0,1,22,4,12,2017,11,20
25.25,124,1.1,430,1,1,22,4,12,2017,11,20
25.25,124,0.83,435,0,1,22,4,12,2017,11,21
25.25,123,0.48,440,1,1,22,4,12,2017,11,21
25.31,123,0.65,445,0,1,22,4,12,2017,11,22
25.31,123,0.4,445,0,1,22,4,12,2017,11,22
25.31,124,0.49,445,0,1,22,4,12,2017,11,23
25.31,124,0.13,445,0,1,22,4,12,2017,11,23
25.31,124,0.35,440,0,1,22,4,12,2017,11,24
25.31,124,0.17,440,0,1,22,4,12,2017,11,24
25.31,124,1.85,445,0,1,22,4,12,2017,11,25
25.31,124,0.28,445,1,1,22,4,12,2017,11,25
25.31,123,0.36,450,1,1,22,4,12,2017,11,26
25.31,123,0.48,450,1,1,22,4,12,2017,11,27
25.31,124,0.51,450,1,1,22,4,12,2017,11,27
25.38,150,0.46,450,1,2,22,4,12,2017,11,28
25.38,153,0.76,450,1,2,22,4,12,2017,11,29
25.38,155,1.77,450,1,2,22,4,12,2017,11,29
25.38,156,0.8,445,0,2,22,4,12,2017,11,30
25.38,157,0.73,445,0,2,22,4,12,2017,11,30
25.38,157,1.14,450,0,2,22,4,12,2017,11,31
25.38,157,0.58,450,0,2,22,4,12,2017,11,31
25.38,158,0.71,455,1,2,22,4,12,2017,11,32
25.38,157,0.44,455,1,2,22,4,12,2017,11,32
25.38,157,0.23,450,0,2,22,4,12,2017,11,33
25.38,157,2.79,450,1,2,22,4,12,2017,11,33
25.38,157,0.54,445,1,2,22,4,12,2017,11,34
25.38,157,2.49,450,1,2,22,4,12,2017,11,34
25.44,157,0.47,450,1,2,22,4,12,2017,11,35
25.44,157,3.51,450,1,2,22,4,12,2017,11,35
25.44,156,0.73,460,1,2,22,4,12,2017,11,36
25.44,157,0.63,460,0,2,22,4,12,2017,11,36
25.44,155,1.14,475,1,2,22,4,12,2017,11,39
25.44,155,1.02,480,1,2,22,4,12,2017,11,39
25.44,155,0.63,480,0,2,22,4,12,2017,11,40
25.44,155,1.33,485,1,2,22,4,12,2017,11,40
25.44,155,0.17,490,0,2,22,4,12,2017,11,41
25.44,155,0.43,500,1,2,22,4,12,2017,11,41
25.5,155,1.87,500,1,2,22,4,12,2017,11,42
25.5,155,0.73,500,0,2,22,4,12,2017,11,42
25.44,155,1.53,500,1,2,22,4,12,2017,11,43
25.44,155,2.95,510,1,2,22,4,12,2017,11,43
25.5,155,1.78,510,1,2,22,4,12,2017,11,44
25.5,155,0.08,515,0,2,22,4,12,2017,11,44
25.44,155,0.45,515,1,2,22,4,12,2017,11,45
25.5,155,2.01,515,0,2,22,4,12,2017,11,45
25.5,155,0.33,520,0,2,22,4,12,2017,11,46
25.5,155,0.5,525,1,2,22,4,12,2017,11,46
25.5,155,1.02,530,1,2,22,4,12,2017,11,47
25.5,155,0.49,540,1,2,22,4,12,2017,11,47
25.5,155,0.29,540,1,2,22,4,12,2017,11,48
25.5,155,0.33,545,1,2,22,4,12,2017,11,48
25.56,155,0.15,545,1,2,22,4,12,2017,11,49
25.56,155,0.63,545,0,2,22,4,12,2017,11,49
25.56,155,0.08,550,0,2,22,4,12,2017,11,50
25.5,155,0.17,550,0,2,22,4,12,2017,11,50
25.56,155,1.81,550,0,2,22,4,12,2017,11,51
25.56,155,0.63,555,1,2,22,4,12,2017,11,51
25.56,155,0.68,555,1,2,22,4,12,2017,11,52
25.56,155,0.32,555,1,2,22,4,12,2017,11,53
25.56,155,1.16,555,1,2,22,4,12,2017,11,53
25.56,155,0.45,560,1,1,22,4,12,2017,11,54
25.56,155,0.31,560,1,1,22,4,12,2017,11,54
25.56,155,0.5,560,1,2,22,4,12,2017,11,55
25.56,155,1.33,560,1,2,22,4,12,2017,11,55
25.56,155,0.54,565,1,2,22,4,12,2017,11,56
25.56,155,0.41,570,1,2,22,4,12,2017,11,56
25.56,151,2.12,570,1,2,22,4,12,2017,11,57
25.56,155,0.44,570,1,2,22,4,12,2017,11,57
25.56,156,0.92,580,1,2,22,4,12,2017,11,58
25.56,155,0.37,580,1,2,22,4,12,2017,11,58
25.56,155,0.55,585,1,2,22,4,12,2017,11,59
25.56,155,0.44,590,1,2,22,4,12,2017,11,59
25.56,155,0.43,585,1,2,22,4,12,2017,12,0
25.56,156,0.37,590,0,2,22,4,12,2017,12,0
25.56,156,0.22,590,0,2,22,4,12,2017,12,1
25.56,156,0.1,600,0,2,22,4,12,2017,12,1
25.56,157,0.09,600,0,2,22,4,12,2017,12,2
25.56,157,0.09,595,0,2,22,4,12,2017,12,2
25.56,156,0.7,605,1,2,22,4,12,2017,12,3
25.56,157,1.93,595,1,2,22,4,12,2017,12,3
25.56,157,0.15,595,0,2,22,4,12,2017,12,4
25.56,157,0.15,590,1,2,22,4,12,2017,12,4
25.56,156,0.26,590,1,2,22,4,12,2017,12,5
25.56,157,1.32,590,1,2,22,4,12,2017,12,5
25.56,157,0.25,590,1,2,22,4,12,2017,12,6
25.63,157,0.48,595,1,2,22,4,12,2017,12,6
25.63,157,0.88,595,1,2,22,4,12,2017,12,7
25.63,157,0.86,595,0,2,22,4,12,2017,12,7
25.63,157,0.07,600,1,2,22,4,12,2017,12,8
25.63,157,0.07,610,0,2,22,4,12,2017,12,8
25.63,157,0.2,605,0,2,22,4,12,2017,12,9
25.63,157,0.74,610,1,2,22,4,12,2017,12,9
25.63,156,0.63,615,1,2,22,4,12,2017,12,10
25.63,156,0.43,615,1,2,22,4,12,2017,12,10
25.69,157,0.79,620,0,2,22,4,12,2017,12,11
25.63,157,0.69,625,1,2,22,4,12,2017,12,11
25.63,156,1.55,630,1,2,22,4,12,2017,12,12
25.63,156,0.54,630,1,2,22,4,12,2017,12,12
25.63,157,0.63,630,1,2,22,4,12,2017,12,13
25.63,157,0.96,630,1,2,22,4,12,2017,12,13
25.63,156,1.05,625,0,2,22,4,12,2017,12,14
25.69,156,0.49,625,0,2,22,4,12,2017,12,14
25.69,156,0.73,630,0,2,22,4,12,2017,12,15
25.69,156,0.81,630,1,2,22,4,12,2017,12,15
25.69,156,0.88,625,1,2,22,4,12,2017,12,16
25.69,156,0.71,635,1,2,22,4,12,2017,12,17
25.69,155,0.72,635,1,2,22,4,12,2017,12,17
25.69,155,0.52,635,1,2,22,4,12,2017,12,18
25.63,156,0.71,630,1,2,22,4,12,2017,12,18
25.69,156,0.75,635,1,2,22,4,12,2017,12,19
25.69,157,0.21,635,1,2,22,4,12,2017,12,19
25.69,156,0.62,635,1,2,22,4,12,2017,12,20
25.69,155,0.83,635,1,2,22,4,12,2017,12,20
25.69,155,0.19,640,1,2,22,4,12,2017,12,21
25.69,155,0.18,645,0,2,22,4,12,2017,12,21
25.69,156,0.5,650,1,2,22,4,12,2017,12,22
25.69,156,1.53,645,1,2,22,4,12,2017,12,22
25.69,157,0.8,650,0,2,22,4,12,2017,12,23
25.69,156,0.62,640,0,2,22,4,12,2017,12,24
25.69,157,0.33,640,1,2,22,4,12,2017,12,24
25.69,157,2.36,645,1,2,22,4,12,2017,12,25
25.69,156,0.25,645,0,2,22,4,12,2017,12,25
25.69,156,0.64,640,0,2,22,4,12,2017,12,26
25.69,156,0.08,645,0,2,22,4,12,2017,12,26
25.69,155,0.08,640,0,2,22,4,12,2017,12,27
25.75,155,0.13,645,0,2,22,4,12,2017,12,27
25.69,156,0.09,645,0,2,22,4,12,2017,12,28
25.69,156,0.5,640,1,2,22,4,12,2017,12,28
25.69,156,0.8,640,1,2,22,4,12,2017,12,29
25.69,155,0.57,645,1,2,22,4,12,2017,12,29
25.69,156,1.12,645,1,3,22,4,12,2017,12,30
25.75,158,0.91,650,1,3,22,4,12,2017,12,30
25.75,159,0.55,645,1,3,22,4,12,2017,12,31
25.75,159,0.58,655,1,3,22,4,12,2017,12,31
25.75,159,0.83,655,1,3,22,4,12,2017,12,32
25.75,159,2.62,660,1,3,22,4,12,2017,12,32
25.75,158,0.7,660,1,3,22,4,12,2017,12,33
25.75,158,0.72,655,1,3,22,4,12,2017,12,33
25.81,159,2.88,660,1,2,22,4,12,2017,12,34
25.75,159,0.62,665,1,2,22,4,12,2017,12,34
25.75,160,0.36,665,1,2,22,4,12,2017,12,35
25.81,160,0.79,670,1,3,22,4,12,2017,12,35
25.81,160,0.51,680,1,3,22,4,12,2017,12,36
25.81,160,0.95,675,1,3,22,4,12,2017,12,36
25.81,160,1.01,675,1,3,22,4,12,2017,12,37
25.81,160,2.04,675,1,3,22,4,12,2017,12,37
25.81,160,0.95,675,1,3,22,4,12,2017,12,38
25.81,160,0.96,685,1,3,22,4,12,2017,12,38
25.81,159,0.58,690,1,3,22,4,12,2017,12,39
25.81,159,3.47,690,1,3,22,4,12,2017,12,39
25.81,160,0.45,695,1,3,22,4,12,2017,12,40
25.81,160,0.83,695,1,3,22,4,12,2017,12,40
25.81,160,0.57,700,1,3,22,4,12,2017,12,41
25.81,159,1.62,695,1,3,22,4,12,2017,12,42
25.81,160,0.71,695,1,3,22,4,12,2017,12,42
25.94,163,0.68,810,1,3,22,4,12,2017,13,8
25.94,164,0.89,810,1,3,22,4,12,2017,13,8
25.94,163,0.63,810,1,3,22,4,12,2017,13,9
25.94,163,0.53,815,1,3,22,4,12,2017,13,9
25.94,163,2.25,815,1,3,22,4,12,2017,13,10
25.94,163,0.41,815,1,3,22,4,12,2017,13,10
25.94,162,0.35,815,1,3,22,4,12,2017,13,11
25.94,162,1.56,820,0,3,22,4,12,2017,13,11
25.94,162,0.79,835,1,3,22,4,12,2017,13,12
25.94,162,3.3,840,1,3,22,4,12,2017,13,12
25.94,162,1.31,840,1,3,22,4,12,2017,13,13
25.94,161,0.52,845,1,3,22,4,12,2017,13,13
25.94,162,0.41,845,1,3,22,4,12,2017,13,14
25.94,163,1.04,845,1,3,22,4,12,2017,13,14
25.94,162,0.33,845,1,3,22,4,12,2017,13,15
25.94,162,0.45,840,1,3,22,4,12,2017,13,15
25.94,163,0.39,840,1,3,22,4,12,2017,13,16
25.94,163,0.08,845,0,3,22,4,12,2017,13,16
26.0,164,0.2,850,1,3,22,4,12,2017,13,17
25.94,163,1.74,855,1,3,22,4,12,2017,13,17
26.0,164,0.61,850,1,3,22,4,12,2017,13,18
25.94,163,0.99,850,1,3,22,4,12,2017,13,19
26.0,163,0.69,845,0,3,22,4,12,2017,13,19
25.94,163,0.55,845,1,3,22,4,12,2017,13,20
25.94,163,0.5,850,1,3,22,4,12,2017,13,20
25.94,164,0.78,855,1,3,22,4,12,2017,13,21
26.0,163,1.24,855,1,3,22,4,12,2017,13,21
25.94,164,0.35,860,1,3,22,4,12,2017,13,22
26.0,164,3.46,855,0,3,22,4,12,2017,13,22
26.0,164,0.3,860,1,3,22,4,12,2017,13,23
26.0,165,0.76,860,1,3,22,4,12,2017,13,23
26.0,164,1.24,860,1,3,22,4,12,2017,13,24
26.0,165,2.42,860,1,3,22,4,12,2017,13,24
26.0,164,0.15,860,0,3,22,4,12,2017,13,25
26.0,164,0.18,865,0,3,22,4,12,2017,13,25
26.0,163,0.17,865,1,3,22,4,12,2017,13,26
26.0,164,0.07,865,1,3,22,4,12,2017,13,26
26.0,163,0.06,875,0,3,22,4,12,2017,13,27
26.0,163,0.08,880,0,3,22,4,12,2017,13,27
26.0,164,0.07,875,0,3,22,4,12,2017,13,28
26.0,162,0.56,880,1,3,22,4,12,2017,13,28
26.0,163,0.96,885,1,2,22,4,12,2017,13,29
26.0,164,1.52,885,1,2,22,4,12,2017,13,30
26.0,165,0.48,875,1,2,22,4,12,2017,13,30
26.06,165,0.71,870,0,2,22,4,12,2017,13,31
26.06,165,0.51,875,1,2,22,4,12,2017,13,32
26.0,165,0.92,870,1,2,22,4,12,2017,13,32
26.0,165,0.29,870,0,2,22,4,12,2017,13,33
26.0,165,1.22,870,1,2,22,4,12,2017,13,33
26.06,165,0.78,865,1,2,22,4,12,2017,13,34
26.06,165,0.81,870,1,2,22,4,12,2017,13,34
26.06,165,0.63,870,0,2,22,4,12,2017,13,35
26.0,165,0.71,865,0,2,22,4,12,2017,13,35
26.06,165,0.61,860,1,2,22,4,12,2017,13,36
26.06,165,0.66,840,1,2,22,4,12,2017,13,36
26.06,165,0.55,845,1,2,22,4,12,2017,13,37
26.06,165,0.45,850,0,2,22,4,12,2017,13,37
26.06,165,0.56,860,0,2,22,4,12,2017,13,38
26.06,164,0.79,865,1,3,22,4,12,2017,13,38
26.06,165,1.48,870,1,3,22,4,12,2017,13,39
26.06,165,1.09,870,1,3,22,4,12,2017,13,39
26.06,165,0.39,885,1,3,22,4,12,2017,13,40
26.06,165,3.63,890,1,2,22,4,12,2017,13,40
26.06,164,0.99,895,1,2,22,4,12,2017,13,41
26.06,165,1.08,895,1,3,22,4,12,2017,13,41
26.06,165,0.12,890,0,3,22,4,12,2017,13,42
26.06,165,0.17,890,1,3,22,4,12,2017,13,42
26.06,165,0.97,880,1,3,22,4,12,2017,13,43
26.06,165,0.1,880,1,3,22,4,12,2017,13,43
26.06,165,0.09,880,0,3,22,4,12,2017,13,44
26.06,164,0.19,875,0,3,22,4,12,2017,13,44
26.06,165,0.09,875,0,3,22,4,12,2017,13,45
26.13,164,0.12,875,0,3,22,4,12,2017,13,45
26.06,165,0.09,880,0,3,22,4,12,2017,13,46
26.06,165,0.65,880,1,3,22,4,12,2017,13,46
26.06,165,0.1,890,1,3,22,4,12,2017,13,47
26.06,164,0.1,900,1,3,22,4,12,2017,13,47
26.13,164,0.16,905,1,3,22,4,12,2017,13,48
26.06,164,0.1,910,0,3,22,4,12,2017,13,48
26.06,164,0.3,910,1,3,22,4,12,2017,13,49
26.06,165,0.83,910,1,3,22,4,12,2017,13,49
26.06,164,1.2,910,1,3,22,4,12,2017,13,50
26.13,165,1.13,910,1,3,22,4,12,2017,13,50
26.06,165,0.55,910,1,3,22,4,12,2017,13,51
26.06,165,0.42,910,1,3,22,4,12,2017,13,51
26.13,164,0.11,910,0,3,22,4,12,2017,13,52
26.06,165,0.41,915,0,3,22,4,12,2017,13,52
26.13,165,0.08,910,0,3,22,4,12,2017,13,53
26.13,165,0.09,915,1,3,22,4,12,2017,13,54
26.13,165,0.38,920,1,3,22,4,12,2017,13,54
26.06,163,0.91,925,1,3,22,4,12,2017,13,55
26.13,165,0.88,925,1,3,22,4,12,2017,13,55
26.13,165,0.75,930,1,3,22,4,12,2017,13,56
26.13,165,0.82,935,1,3,22,4,12,2017,13,56
26.13,165,0.48,935,1,3,22,4,12,2017,13,57
26.13,165,0.53,935,0,3,22,4,12,2017,13,57
26.13,165,0.43,935,1,3,22,4,12,2017,13,58
26.13,165,0.13,935,1,3,22,4,12,2017,13,58
26.13,165,0.38,935,0,3,22,4,12,2017,13,59
26.13,165,0.1,935,0,3,22,4,12,2017,13,59
26.13,165,0.11,930,0,3,22,4,12,2017,14,0
26.13,165,0.34,925,1,3,22,4,12,2017,14,0
26.13,165,0.14,925,1,3,22,4,12,2017,14,1
26.19,165,0.1,930,1,3,22,4,12,2017,14,1
26.13,165,0.3,940,1,3,22,4,12,2017,14,2
26.19,165,0.08,940,1,3,22,4,12,2017,14,2
26.13,165,0.09,945,0,3,22,4,12,2017,14,3
26.13,165,0.36,945,0,3,22,4,12,2017,14,3
26.19,165,0.08,955,0,3,22,4,12,2017,14,4
26.13,165,0.22,960,0,3,22,4,12,2017,14,4
26.19,165,0.09,965,0,3,22,4,12,2017,14,5
26.19,165,0.83,960,1,3,22,4,12,2017,14,5
26.19,164,1.52,965,1,3,22,4,12,2017,14,6
26.19,163,0.61,970,1,3,22,4,12,2017,14,6
26.19,164,0.72,965,1,3,22,4,12,2017,14,7
26.19,163,0.12,970,1,3,22,4,12,2017,14,7
26.19,163,0.09,975,0,3,22,4,12,2017,14,8
26.19,164,0.09,970,0,3,22,4,12,2017,14,8
26.19,163,0.17,965,1,3,22,4,12,2017,14,9
26.19,164,1.25,960,1,3,22,4,12,2017,14,9
26.19,163,0.16,955,0,3,22,4,12,2017,14,10
26.19,164,0.1,960,1,3,22,4,12,2017,14,10
26.19,164,0.79,965,0,3,22,4,12,2017,14,11
26.19,164,0.18,965,1,3,22,4,12,2017,14,11
26.19,163,0.13,965,1,3,22,4,12,2017,14,12
26.19,163,1.14,965,1,3,22,4,12,2017,14,12
26.19,162,1.56,960,1,3,22,4,12,2017,14,13
26.19,161,0.77,955,1,3,22,4,12,2017,14,14
26.19,158,0.69,950,1,3,22,4,12,2017,14,14
26.19,160,0.9,950,1,3,22,4,12,2017,14,15
26.19,19,0.42,950,1,0,22,4,12,2017,14,15
26.19,19,2.32,960,1,0,22,4,12,2017,14,16
26.19,19,0.19,970,0,0,22,4,12,2017,14,16
26.19,19,0.1,965,0,0,22,4,12,2017,14,17
26.19,20,0.07,970,0,0,22,4,12,2017,14,18
26.13,19,0.08,970,0,0,22,4,12,2017,14,18
26.19,19,0.07,970,0,0,22,4,12,2017,14,19
26.19,19,0.08,970,0,0,22,4,12,2017,14,19
26.19,19,0.07,970,0,0,22,4,12,2017,14,20
26.19,18,0.07,965,0,0,22,4,12,2017,14,20
26.19,18,0.07,970,0,0,22,4,12,2017,14,21
26.19,18,0.07,965,0,0,22,4,12,2017,14,21
26.13,18,0.08,960,0,0,22,4,12,2017,14,22
26.13,18,0.07,965,0,0,22,4,12,2017,14,22
26.13,19,0.09,965,0,0,22,4,12,2017,14,23
26.13,19,0.1,965,0,0,22,4,12,2017,14,23
26.06,19,0.06,975,0,0,22,4,12,2017,14,24
26.13,19,0.07,975,0,0,22,4,12,2017,14,24
26.06,19,0.07,975,0,0,22,4,12,2017,14,25
26.13,19,0.08,970,0,0,22,4,12,2017,14,25
26.13,19,0.09,965,0,0,22,4,12,2017,14,26
26.13,19,0.1,960,0,0,22,4,12,2017,14,26
26.06,19,0.07,960,0,0,22,4,12,2017,14,27
26.13,19,0.07,955,0,0,22,4,12,2017,14,27
26.06,19,0.13,945,0,0,22,4,12,2017,14,28
26.06,18,0.07,945,0,0,22,4,12,2017,14,28
26.06,18,0.56,950,1,0,22,4,12,2017,14,29
26.06,18,0.07,950,0,0,22,4,12,2017,14,29
26.06,18,0.07,940,0,0,22,4,12,2017,14,30
26.06,18,0.07,930,0,0,22,4,12,2017,14,30
26.06,18,0.08,920,0,0,22,4,12,2017,14,31
26.06,18,0.07,910,0,0,22,4,12,2017,14,31
26.06,18,0.07,900,0,0,22,4,12,2017,14,32
26.06,19,0.08,890,0,0,22,4,12,2017,14,32
26.06,19,0.09,880,0,0,22,4,12,2017,14,33
26.06,19,0.08,870,0,0,22,4,12,2017,14,33
26.06,19,0.07,865,0,0,22,4,12,2017,14,34
26.06,18,0.07,855,0,0,22,4,12,2017,14,34
26.06,18,0.07,850,0,0,22,4,12,2017,14,35
26.06,18,0.07,845,0,0,22,4,12,2017,14,35
26.06,18,0.1,850,0,0,22,4,12,2017,14,36
26.06,17,0.08,845,0,0,22,4,12,2017,14,36
26.0,17,0.07,840,0,0,22,4,12,2017,14,37
26.0,17,0.07,840,0,0,22,4,12,2017,14,37
26.0,17,0.06,835,0,0,22,4,12,2017,14,38
26.06,17,0.07,835,0,0,22,4,12,2017,14,38
26.0,18,0.07,835,0,0,22,4,12,2017,14,39
26.0,17,0.08,835,0,0,22,4,12,2017,14,39
26.0,17,0.07,830,0,0,22,4,12,2017,14,40
26.0,17,0.08,830,0,0,22,4,12,2017,14,40
26.0,17,0.07,830,0,0,22,4,12,2017,14,41
26.0,17,0.07,830,0,0,22,4,12,2017,14,42
26.0,17,0.07,830,0,0,22,4,12,2017,14,42
26.0,17,0.08,820,0,0,22,4,12,2017,14,43
26.0,17,0.07,820,0,0,22,4,12,2017,14,43
26.0,17,0.07,815,0,0,22,4,12,2017,14,44
26.0,17,0.07,815,0,0,22,4,12,2017,14,44
26.0,17,0.06,815,0,0,22,4,12,2017,14,45
26.0,17,0.07,805,0,0,22,4,12,2017,14,45
26.0,17,0.06,805,0,0,22,4,12,2017,14,46
26.0,16,0.07,800,0,0,22,4,12,2017,14,46
25.94,17,0.08,795,0,0,22,4,12,2017,14,47
26.0,17,0.06,785,0,0,22,4,12,2017,14,47
25.94,17,0.08,775,0,0,22,4,12,2017,14,48
26.0,17,0.08,770,0,0,22,4,12,2017,14,48
26.0,16,0.08,770,0,0,22,4,12,2017,14,49
26.0,16,0.06,765,0,0,22,4,12,2017,14,49
25.94,16,0.07,760,0,0,22,4,12,2017,14,50
26.0,16,0.08,760,0,0,22,4,12,2017,14,50
26.0,16,0.07,755,0,0,22,4,12,2017,14,51
25.94,16,0.07,750,0,0,22,4,12,2017,14,51
25.94,16,0.07,755,0,0,22,4,12,2017,14,52
25.94,15,0.07,750,0,0,22,4,12,2017,14,52
25.94,15,0.07,750,0,0,22,4,12,2017,14,53
25.94,15,0.07,755,0,0,22,4,12,2017,14,53
25.94,15,0.07,755,0,0,22,4,12,2017,14,54
25.94,15,0.07,750,0,0,22,4,12,2017,14,54
25.94,15,0.07,755,0,0,22,4,12,2017,14,55
25.94,15,0.07,750,0,0,22,4,12,2017,14,55
25.94,15,0.06,740,0,0,22,4,12,2017,14,56
25.94,14,0.07,730,0,0,22,4,12,2017,14,56
25.94,14,0.09,730,0,0,22,4,12,2017,14,57
25.94,14,0.07,720,0,0,22,4,12,2017,14,57
25.94,14,0.08,715,0,0,22,4,12,2017,14,58
25.94,14,0.07,710,0,0,22,4,12,2017,14,58
25.88,14,0.08,715,0,0,22,4,12,2017,14,59
25.94,14,0.08,715,0,0,22,4,12,2017,14,59
25.94,14,0.08,715,0,0,22,4,12,2017,15,0
25.94,14,0.07,715,0,0,22,4,12,2017,15,0
25.94,14,0.06,715,0,0,22,4,12,2017,15,1
25.88,14,0.08,705,0,0,22,4,12,2017,15,1
25.88,14,0.07,705,0,0,22,4,12,2017,15,2
25.88,14,0.07,705,0,0,22,4,12,2017,15,2
25.88,14,0.07,705,0,0,22,4,12,2017,15,3
25.88,14,0.06,695,0,0,22,4,12,2017,15,3
25.88,14,0.08,690,0,0,22,4,12,2017,15,4
25.88,14,0.06,690,0,0,22,4,12,2017,15,4
25.88,14,0.07,695,0,0,22,4,12,2017,15,5
25.88,15,0.08,690,0,0,22,4,12,2017,15,6
25.88,15,0.08,685,0,0,22,4,12,2017,15,6
25.81,15,0.08,680,0,0,22,4,12,2017,15,7
25.88,14,0.07,685,0,0,22,4,12,2017,15,7
25.88,14,0.07,690,0,0,22,4,12,2017,15,8
25.88,14,0.07,685,0,0,22,4,12,2017,15,8
25.88,14,0.08,685,0,0,22,4,12,2017,15,9
25.88,14,0.07,680,0,0,22,4,12,2017,15,10
25.88,14,0.08,675,0,0,22,4,12,2017,15,10
25.88,13,0.07,680,0,0,22,4,12,2017,15,11
25.88,14,0.07,675,0,0,22,4,12,2017,15,11
25.88,14,0.08,675,0,0,22,4,12,2017,15,12
25.81,14,0.08,675,0,0,22,4,12,2017,15,12
25.88,13,0.08,675,0,0,22,4,12,2017,15,13
25.81,13,0.1,670,0,0,22,4,12,2017,15,13
25.81,13,0.07,655,0,0,22,4,12,2017,15,14
25.88,13,0.07,655,0,0,22,4,12,2017,15,14
25.81,13,0.07,650,0,0,22,4,12,2017,15,15
25.88,13,0.07,650,0,0,22,4,12,2017,15,15
25.81,13,0.08,640,0,0,22,4,12,2017,15,16
25.81,14,0.06,640,0,0,22,4,12,2017,15,16
25.88,14,0.07,640,0,0,22,4,12,2017,15,17
25.81,14,0.07,635,0,0,22,4,12,2017,15,17
25.81,14,0.07,625,0,0,22,4,12,2017,15,18
25.81,13,0.08,630,0,0,22,4,12,2017,15,18
25.81,13,0.07,625,0,0,22,4,12,2017,15,19
25.81,13,0.07,620,0,0,22,4,12,2017,15,19
25.88,13,0.07,615,0,0,22,4,12,2017,15,20
25.81,13,0.07,610,0,0,22,4,12,2017,15,20
25.81,13,0.07,600,0,0,22,4,12,2017,15,21
25.81,13,0.08,600,0,0,22,4,12,2017,15,21
25.81,13,0.07,595,0,0,22,4,12,2017,15,22
25.81,13,0.07,600,0,0,22,4,12,2017,15,22
25.81,13,0.07,600,0,0,22,4,12,2017,15,23
